"","X.2","SampleID","Site","Room.Type","Start.Date","SamplerStart","CollectionDate","SamplerEnd","Entry","SamplerNumber","Cartridge","Location","CollectionMethod","Notes","Flushed.Toilets","occupiedrooms","stack.n","wing.n","building.n","s.wing.n","source.rooms","Runtime","N","ORF1ab","S","MS2","Result","ct","X","X.1","LogCopiesPerL","lab","Result.clean"
"140",30,"E29","Barnhart","Port",NA,NA,2021-03-24,1223,2,7,NA,"Port #34","Swab",NA,NA,NA,0,2,2,0,"114, 116, 214, 216, 314, 316, 414, 416, 514, 516, 614, 616, 714, 716",NA,"31.3","No Amp","31.5","28","Positive (2/3)",34.2,NA,NA,NA,"uo","Positive"
"141",297,"E290","Barnhart","Roof","3/31/2021",1350,2021-04-01,1227,10,2,NA,"Exhaust #38 & #39","PUF",NA,NA,NA,0,10,10,4,"225, 325, 425, 525, 625, 725, 221, 321, 421, 521, 621, 721, 223, 323, 423, 523, 623, 723",NA,"32.1","No Amp","No Amp","31","Negative",37.4,NA,NA,NA,"uo","Negative"
"142",298,"E291","Barnhart","Port",NA,NA,2021-04-01,1218,10,NA,NA,"Port #40","Swab",NA,NA,NA,0,10,10,4,"227, 327, 427, 527, 627, 727, 229, 329, 429, 529, 629, 729",NA,"29.6","No Amp","No Amp","30.8","Negative",36.5,NA,NA,NA,"uo","Negative"
"143",303,"E296","Barnhart","Indoors",NA,NA,2021-04-02,1155,7,NA,NA,"W. Entrance Door Handle Interior","Swab",NA,NA,NA,NA,10,14,6,NA,NA,"32.7","No Amp","No Amp","25.6","Negative",37.6,NA,NA,NA,"uo","Negative"
"144",14,"E3","Barnhart","Roof","3/22/2021",1232,2021-03-23,1122,1,10,NA,"Exhaust #27","PUF","Sampler light red, PUF looks clean",NA,NA,0,2,2,0,"101, 106, 204, 304, 404, 504, 604, 704",NA,"30.9","No Amp","24.6","28.8","Positive (2/3)",31.8,NA,NA,NA,"uo","Positive"
"145",31,"E30","Barnhart","Roof","3/23/2021",1129,2021-03-24,1223,2,7,"K","Exhaust #34","PUF",NA,NA,NA,0,2,2,0,"114, 116, 214, 216, 314, 316, 414, 416, 514, 516, 614, 616, 714, 716",NA,"31.3","No Amp","No Amp","27.3","Negative",37.1,NA,NA,NA,"uo","Negative"
"146",307,"E300","Barnhart","Indoors",NA,NA,2021-04-02,1155,7,NA,NA,"2nd Floor Elevator Call Button","Swab",NA,NA,NA,NA,10,14,6,NA,NA,"No Amp","31.8","No Amp","No Amp","Negative",37.3,NA,NA,NA,"uo","Negative"
"147",308,"E301","Barnhart","Indoors",NA,NA,2021-04-02,1155,7,NA,NA,"2nd Floor N Hallway Door Handle","Swab",NA,NA,NA,NA,10,14,6,NA,NA,"27.6","27.8","27.7","No Amp","Positive (3/3)",27.7,NA,NA,NA,"uo","Positive"
"148",32,"E31","Barnhart","Port",NA,NA,2021-03-24,1225,2,6,NA,"Port #37","Swab",NA,NA,NA,0,2,2,0,"117, 119, 217, 219, 317, 417, 517, 617, 717, 319, 419, 519, 619, 719",NA,"30.1","No Amp","21.3","28.7","Positive (2/3)",30.5,NA,NA,NA,"uo","Positive"
"149",318,"E311","Barnhart","Roof","4/1/2021",1334,2021-04-02,1255,11,7,"K","Exhaust #27","PUF",NA,NA,"204",1,10,14,6,"101, 106, 204, 304, 404, 504, 604, 704",NA,"30.8","No Amp","No Amp","27.8","Negative",36.9,NA,NA,NA,"uo","Negative"
