"","X.2","SampleID","Site","Room.Type","Start.Date","SamplerStart","CollectionDate","SamplerEnd","Entry","SamplerNumber","Cartridge","Location","CollectionMethod","Notes","Flushed.Toilets","occupiedrooms","stack.n","wing.n","building.n","s.wing.n","source.rooms","Runtime","N","ORF1ab","S","MS2","Result","ct","X","X.1","LogCopiesPerL","lab","Result.clean"
"275",486,"E473","Barnhart","Roof","4/7/2021",1159,2021-04-08,1123,17,5,NA,"Exhaust #26","PUF",NA,NA,"202",1,8,16,8,"202, 302, 402, 502, 602, 702",NA,"33.3","No Amp","No Amp","24.4","Negative",37.8,NA,NA,NA,"uo","Negative"
"276",487,"E474","Barnhart","Port",NA,NA,2021-04-08,1124,17,7,NA,"Port #27","Swab",NA,NA,"204",1,8,16,8,"101, 106, 204, 304, 404, 504, 604, 704",NA,"33.7","No Amp","No Amp","27.3","Negative",37.9,NA,NA,NA,"uo","Negative"
"277",488,"E475","Barnhart","Roof","4/7/2021",1201,2021-04-08,1125,17,7,"K","Exhaust #27","PUF",NA,NA,"204",1,8,16,8,"101, 106, 204, 304, 404, 504, 604, 704",NA,"34.4","No Amp","No Amp","25.3","Negative",38.1,NA,NA,NA,"uo","Negative"
"278",489,"E476","Barnhart","Port",NA,NA,2021-04-08,1126,17,9,NA,"Port #30","Swab",NA,NA,"206, 208",2,8,16,8,"108, 206, 208 306, 308, 406, 408, 506, 508, 606, 608, 706, 708",NA,"33.4","No Amp","No Amp","29.1","Negative",37.8,NA,NA,NA,"uo","Negative"
"279",490,"E477","Barnhart","Roof","4/7/2021",1203,2021-04-08,1127,17,9,"Z","Exhaust #30","PUF",NA,NA,"206, 208",2,8,16,8,"108, 206, 208 306, 308, 406, 408, 506, 508, 606, 608, 706, 708",NA,"32.8","No Amp","No Amp","29.5","Negative",37.6,NA,NA,NA,"uo","Negative"
"280",491,"E478","Barnhart","Port",NA,NA,2021-04-08,1128,17,8,NA,"Port #31","Swab",NA,NA,"210, 212",2,8,16,8,"110, 112, 210, 212, 310, 312, 410, 412, 510, 512, 610, 612, 710, 712",NA,"32.4","No Amp","No Amp","27.9","Negative",37.5,NA,NA,NA,"uo","Negative"
"281",492,"E479","Barnhart","Roof","4/7/2021",1204,2021-04-08,1129,17,8,"F","Exhaust #31","PUF","RDM Participant",NA,"210, 212",2,8,16,8,"110, 112, 210, 212, 310, 312, 410, 412, 510, 512, 610, 612, 710, 712",NA,"26.5","26.5","24.8","27.2","Positive (3/3)",25.9,NA,NA,NA,"uo","Positive"
"282",50,"E48","Barnhart","Port",NA,NA,2021-03-25,1016,3,8,NA,"Port #31","Swab",NA,NA,NA,0,3,3,0,"110, 112, 210, 212, 310, 312, 410, 412, 510, 512, 610, 612, 710, 712",NA,"30.6","31.3","29.7","29.8","Positive (3/3)",30.5,NA,NA,NA,"uo","Positive"
"283",493,"E480","Barnhart","Port",NA,NA,2021-04-08,1130,17,4,NA,"Port #34","Swab","1 arrived yesterday",NA,"214, 216",2,8,16,8,"114, 116, 214, 216, 314, 316, 414, 416, 514, 516, 614, 616, 714, 716",NA,"No Amp","No Amp","No Amp","28.9","Negative",40,NA,NA,NA,"uo","Negative"
"284",495,"E482","Barnhart","Port",NA,NA,2021-04-08,1132,17,NA,NA,"Port #32","Swab",NA,NA,"209, 211",2,8,16,8,"109, 111, 209, 211, 309, 409, 509, 609, 311, 411, 511, 611, 711, 709",NA,"32.2","No Amp","No Amp","31.1","Negative",37.4,NA,NA,NA,"uo","Negative"
"285",497,"E484","Barnhart","Port",NA,NA,2021-04-08,1134,17,3,NA,"Port #29","Swab",NA,NA,"205, 207",2,8,16,8,"105, 107, 205, 207, 305, 405, 505, 605, 705, 307, 407, 507, 607, 707",NA,"No Amp","No Amp","No Amp","27.7","Negative",38.6,NA,NA,NA,"uo","Negative"
"286",498,"E485","Barnhart","Roof","4/7/2021",1210,2021-04-08,1135,17,3,"C","Exhaust #29","PUF",NA,NA,"205, 207",2,8,16,8,"105, 107, 205, 207, 305, 405, 505, 605, 705, 307, 407, 507, 607, 707",NA,"31.9","No Amp","No Amp","28.4","Negative",37.3,NA,NA,NA,"uo","Negative"
"287",502,"E488","Barnhart","Indoors",NA,NA,2021-04-09,1050,14,NA,NA,"W. Entrance Door Handle Interior","Swab",NA,NA,NA,NA,8,16,10,NA,NA,"33.3","32.4","No Amp","24.9","Positive (2/3)",35.2,NA,NA,NA,"uo","Positive"
"288",51,"E49","Barnhart","Roof","3/24/2021",1221,2021-03-25,1016,3,8,"F","Exhaust #31","PUF",NA,NA,NA,0,3,3,0,"110, 112, 210, 212, 310, 312, 410, 412, 510, 512, 610, 612, 710, 712",NA,"31.7","No Amp","No Amp","28","Negative",37.2,NA,NA,NA,"uo","Negative"
"289",504,"E490","Barnhart","Indoors",NA,NA,2021-04-09,1050,14,NA,NA,"Positive Floor Elevator Railing","Swab",NA,NA,NA,NA,8,16,10,NA,NA,"33.2","No Amp","34","25.8","Positive (2/3)",35.7,NA,NA,NA,"uo","Positive"
"290",505,"E491","Barnhart","Indoors",NA,NA,2021-04-09,1050,14,NA,NA,"Positive Floor Elevator Buttons","Swab",NA,NA,NA,NA,8,16,10,NA,NA,"No Amp","No Amp","No Amp","27.5","Negative",38.3,NA,NA,NA,"uo","Negative"
"291",506,"E492","Barnhart","Indoors",NA,NA,2021-04-09,1050,14,NA,NA,"2nd Floor Elevator Call Button","Swab",NA,NA,NA,NA,8,16,10,NA,NA,"34.2","29.6","31.1","26.5","Positive (3/3)",31.6,NA,NA,NA,"uo","Positive"
"292",507,"E493","Barnhart","Indoors",NA,NA,2021-04-09,1050,14,NA,NA,"2nd Floor N Hallway Door Handle","Swab",NA,NA,NA,NA,8,16,10,NA,NA,"29.8","30.2","30.8","No Amp","Positive (3/3)",30.3,NA,NA,NA,"uo","Positive"
"293",508,"E494","Barnhart","Indoors",NA,NA,2021-04-09,1050,14,NA,NA,"2nd Floor Stairway Door Handle","Swab",NA,NA,NA,NA,8,16,10,NA,NA,"32","No Amp","No Amp","27.1","Negative",37.3,NA,NA,NA,"uo","Negative"
"294",16,"E5","Barnhart","Roof","3/22/2021",1234,2021-03-23,1124,1,9,"Z","Exhaust #30","PUF",NA,NA,NA,0,2,2,0,"108, 206, 208 306, 308, 406, 408, 506, 508, 606, 608, 706, 708",NA,"30.7","33.3","No Amp","27.4","Positive (2/3)",34.7,NA,NA,NA,"uo","Positive"
"295",52,"E50","Barnhart","Port",NA,NA,2021-03-25,1018,3,7,NA,"Port #34","Swab",NA,NA,NA,0,3,3,0,"114, 116, 214, 216, 314, 316, 414, 416, 514, 516, 614, 616, 714, 716",NA,"31.4","No Amp","28.6","27.6","Positive (2/3)",33.3,NA,NA,NA,"uo","Positive"
"296",514,"E500","Barnhart","Port",NA,NA,2021-04-09,1135,18,5,NA,"Port #26","Swab",NA,NA,"202",1,8,16,10,"202, 302, 402, 502, 602, 702",NA,"32.6","No Amp","No Amp","25.3","Negative",37.5,NA,NA,NA,"uo","Negative"
"297",515,"E501","Barnhart","Roof","4/8/2021",1123,2021-04-09,1136,18,5,NA,"Exhaust #26","PUF",NA,NA,"202",1,8,16,10,"202, 302, 402, 502, 602, 702",NA,"31.8","No Amp","No Amp","24.8","Negative",37.3,NA,NA,NA,"uo","Negative"
"298",516,"E502","Barnhart","Port",NA,NA,2021-04-09,1137,18,7,NA,"Port #27","Swab",NA,NA,NA,0,8,16,10,"101, 106, 204, 304, 404, 504, 604, 704",NA,"No Amp","No Amp","No Amp","26.8","Negative",40,NA,NA,NA,"uo","Negative"
"299",517,"E503","Barnhart","Roof","4/8/2021",1125,2021-04-09,1138,18,7,"K","Exhaust #27","PUF",NA,NA,NA,0,8,16,10,"101, 106, 204, 304, 404, 504, 604, 704",NA,"33.7","No Amp","No Amp","24.4","Negative",37.9,NA,NA,NA,"uo","Negative"
"300",520,"E506","Barnhart","Port",NA,NA,2021-04-09,1143,18,8,NA,"Port #31","Swab",NA,NA,"210, 212",2,8,16,10,"110, 112, 210, 212, 310, 312, 410, 412, 510, 512, 610, 612, 710, 712",NA,"32","No Amp","28.9","29.5","Positive (2/3)",33.6,NA,NA,NA,"uo","Positive"
"301",521,"E507","Barnhart","Roof","4/8/2021",1129,2021-04-09,1144,18,8,"F","Exhaust #31","PUF",NA,NA,"210, 212",2,8,16,10,"110, 112, 210, 212, 310, 312, 410, 412, 510, 512, 610, 612, 710, 712",NA,"32.8","30.1","33.4","24.1","Positive (3/3)",32.1,NA,NA,NA,"uo","Positive"
"302",523,"E509","Barnhart","Roof","4/8/2021",1131,2021-04-09,1148,18,4,NA,"Exhaust #34","PUF",NA,NA,"214, 216",2,8,16,10,"114, 116, 214, 216, 314, 316, 414, 416, 514, 516, 614, 616, 714, 716",NA,"30.6","28.8","No Amp","25.7","Positive (2/3)",33.1,NA,NA,NA,"uo","Positive"
"303",524,"E510","Barnhart","Port",NA,NA,2021-04-09,1149,18,NA,NA,"Port #32","Swab",NA,NA,"209, 211",2,8,16,10,"109, 111, 209, 211, 309, 409, 509, 609, 311, 411, 511, 611, 711, 709",NA,"32.3","No Amp","No Amp","25.3","Negative",37.4,NA,NA,NA,"uo","Negative"
"304",526,"E512","Barnhart","Port",NA,NA,2021-04-09,1152,18,3,NA,"Port #29","Swab",NA,NA,"205, 207",2,8,16,10,"105, 107, 205, 207, 305, 405, 505, 605, 705, 307, 407, 507, 607, 707",NA,"32.5","No Amp","No Amp","24.5","Negative",37.5,NA,NA,NA,"uo","Negative"
"305",528,"E514","Barnhart","Roof","4/8/2021",1139,2021-04-09,1157,18,2,NA,"Exhaust #38 & #39","PUF",NA,NA,NA,0,8,16,10,"225, 325, 425, 525, 625, 725, 221, 321, 421, 521, 621, 721, 223, 323, 423, 523, 623, 723",NA,"No Amp","No Amp","No Amp","28.7","Negative",40,NA,NA,NA,"uo","Negative"
"306",532,"E517","Barnhart","Indoors",NA,NA,2021-04-10,907,15,NA,NA,"Lobby Call Elevator Button","Swab",NA,NA,NA,NA,5,15,9,NA,NA,"No Amp","No Amp","No Amp","28.6","Negative",40,NA,NA,NA,"uo","Negative"
"307",533,"E518","Barnhart","Indoors",NA,NA,2021-04-10,908,15,NA,NA,"Positive Floor Elevator Railing","Swab",NA,NA,NA,NA,5,15,9,NA,NA,"34.7","No Amp","No Amp","26.1","Negative",38.2,NA,NA,NA,"uo","Negative"
"308",534,"E519","Barnhart","Indoors",NA,NA,2021-04-10,909,15,NA,NA,"Positive Floor Elevator Buttons","Swab",NA,NA,NA,NA,5,15,9,NA,NA,"32.5","No Amp","28.7","No Amp","Positive (2/3)",33.8,NA,NA,NA,"uo","Positive"
"309",54,"E52","Barnhart","Port",NA,NA,2021-03-25,1020,3,6,NA,"Port #37","Swab",NA,NA,NA,0,3,3,0,"117, 119, 217, 219, 317, 417, 517, 617, 717, 319, 419, 519, 619, 719",NA,"29.3","26.7","28.5","28.5","Positive (3/3)",28.1,NA,NA,NA,"uo","Positive"
"310",535,"E520","Barnhart","Indoors",NA,NA,2021-04-10,909,15,NA,NA,"2nd Floor Elevator Call Button","Swab",NA,NA,NA,NA,5,15,9,NA,NA,"33.2","No Amp","No Amp","31.6","Negative",37.7,NA,NA,NA,"uo","Negative"
"311",536,"E521","Barnhart","Indoors",NA,NA,2021-04-10,910,15,NA,NA,"2nd Floor N Hallway Door Handle","Swab",NA,NA,NA,NA,5,15,9,NA,NA,"29.9","31.2","No Amp","28.7","Positive (2/3)",33.7,NA,NA,NA,"uo","Positive"
"312",537,"E522","Barnhart","Indoors",NA,NA,2021-04-10,910,15,NA,NA,"2nd Floor Stairway Door Handle","Swab",NA,NA,NA,NA,5,15,9,NA,NA,"32.5","No Amp","31.2","26","Positive (2/3)",34.6,NA,NA,NA,"uo","Positive"
"313",543,"E528","Barnhart","Port",NA,NA,2021-04-10,916,19,5,NA,"Port #26","Swab",NA,NA,"202",1,5,15,9,"202, 302, 402, 502, 602, 702",NA,"No Amp","No Amp","No Amp","26","Negative",40,NA,NA,NA,"uo","Negative"
"314",544,"E529","Barnhart","Roof","4/9/2021",1136,2021-04-10,916,19,5,"I","Exhaust #26","PUF",NA,NA,"202",1,5,15,9,"202, 302, 402, 502, 602, 702",NA,"32.6","No Amp","No Amp","27.5","Negative",37.5,NA,NA,NA,"uo","Negative"
"315",55,"E53","Barnhart","Roof","3/24/2021",1225,2021-03-25,1020,3,6,"E","Exhaust #37","PUF",NA,NA,NA,0,3,3,0,"117, 119, 217, 219, 317, 417, 517, 617, 717, 319, 419, 519, 619, 719",NA,"29.5","No Amp","18.5","27.2","Positive (2/3)",29.4,NA,NA,NA,"uo","Positive"
"316",546,"E531","Barnhart","Roof","4/9/2021",1138,2021-04-10,921,19,7,"K","Exhaust #27","PUF",NA,NA,NA,0,5,15,9,"101, 106, 204, 304, 404, 504, 604, 704",NA,"No Amp","32.5","No Amp","25.9","Negative",37.5,NA,NA,NA,"uo","Negative"
"317",547,"E532","Barnhart","Port",NA,NA,2021-04-10,923,19,9,NA,"Port #30","Swab",NA,NA,"206, 208",2,5,15,9,"108, 206, 208 306, 308, 406, 408, 506, 508, 606, 608, 706, 708",NA,"No Amp","No Amp","No Amp","27.1","Negative",40,NA,NA,NA,"uo","Negative"
"318",548,"E533","Barnhart","Roof","4/9/2021",1141,2021-04-10,923,19,9,"Z","Exhaust #30","PUF",NA,NA,"206, 208",2,5,15,9,"108, 206, 208 306, 308, 406, 408, 506, 508, 606, 608, 706, 708",NA,"No Amp","31.8","No Amp","25","Negative",37.3,NA,NA,NA,"uo","Negative"
"319",550,"E535","Barnhart","Roof","4/9/2021",1144,2021-04-10,926,19,8,"F","Exhaust #31","PUF",NA,NA,"210, 212",2,5,15,9,"110, 112, 210, 212, 310, 312, 410, 412, 510, 512, 610, 612, 710, 712",NA,"31.1","33.4","No Amp","28.1","Positive (2/3)",34.8,NA,NA,NA,"uo","Positive"
"320",551,"E536","Barnhart","Port",NA,NA,2021-04-10,926,19,1,NA,"Port #34","Swab",NA,NA,"214, 216",2,5,15,9,"114, 116, 214, 216, 314, 316, 414, 416, 514, 516, 614, 616, 714, 716",NA,"31.2","No Amp","No Amp","26.7","Negative",37.1,NA,NA,NA,"uo","Negative"
"321",552,"E537","Barnhart","Roof","4/9/2021",1148,2021-04-10,927,19,1,"H","Exhaust #34","PUF",NA,NA,"214, 216",2,5,15,9,"114, 116, 214, 216, 314, 316, 414, 416, 514, 516, 614, 616, 714, 716",NA,"28.9","31.1","31.6","30.8","Positive (3/3)",30.6,NA,NA,NA,"uo","Positive"
"322",553,"E538","Barnhart","Port",NA,NA,2021-04-10,929,19,4,NA,"Port #32","Swab",NA,NA,"209, 211",2,5,15,9,"109, 111, 209, 211, 309, 409, 509, 609, 311, 411, 511, 611, 711, 709",NA,"No Amp","No Amp","No Amp","28.1","Negative",40,NA,NA,NA,"uo","Negative"
"323",554,"E539","Barnhart","Roof","4/9/2021",1150,2021-04-10,929,19,4,"G","Exhaust #32","PUF",NA,NA,"209, 211",2,5,15,9,"109, 111, 209, 211, 309, 409, 509, 609, 311, 411, 511, 611, 711, 709",NA,"30.6","31","29.5","27.1","Positive (3/3)",30.3,NA,NA,NA,"uo","Positive"
"324",56,"E54","Barnhart","Port",NA,NA,2021-03-25,1022,3,5,NA,"Port #33","Swab",NA,NA,NA,0,3,3,0,"113, 115, 213, 215, 313, 413, 513, 613, 713, 315, 415, 515, 615, 715",NA,"25.5","29.5","28.3","No Amp","Positive (3/3)",27.8,NA,NA,NA,"uo","Positive"
"325",555,"E540","Barnhart","Port",NA,NA,2021-04-10,930,19,3,NA,"Port #29","Swab",NA,NA,"205, 207",2,5,15,9,"105, 107, 205, 207, 305, 405, 505, 605, 705, 307, 407, 507, 607, 707",NA,"No Amp","No Amp","No Amp","26.1","Negative",40,NA,NA,NA,"uo","Negative"
"326",556,"E541","Barnhart","Roof","4/9/2021",1153,2021-04-10,930,19,3,"C","Exhaust #29","PUF",NA,NA,"205, 207",2,5,15,9,"105, 107, 205, 207, 305, 405, 505, 605, 705, 307, 407, 507, 607, 707",NA,"No Amp","No Amp","No Amp","29.9","Negative",40,NA,NA,NA,"uo","Negative"
"327",557,"E542","Barnhart","Roof","4/9/2021",1157,2021-04-10,933,19,2,"T","Exhaust #38 & #39","PUF",NA,NA,NA,0,5,15,9,"225, 325, 425, 525, 625, 725, 221, 321, 421, 521, 621, 721, 223, 323, 423, 523, 623, 723",NA,"32.4","No Amp","No Amp","29.3","Negative",37.5,NA,NA,NA,"uo","Negative"
"328",560,"E544","Barnhart","Indoors",NA,NA,2021-04-11,905,16,NA,NA,"W. Entrance Door Handle Interior","Swab",NA,NA,NA,NA,4,13,9,NA,NA,"31.4","No Amp","32.5","32.3","Positive (2/3)",34.6,NA,NA,NA,"uo","Positive"
"329",562,"E546","Barnhart","Indoors",NA,NA,2021-04-11,932,16,NA,NA,"Positive Floor Elevator Railing","Swab",NA,NA,NA,NA,4,13,9,NA,NA,"33.8","No Amp","No Amp","31.5","Negative",37.9,NA,NA,NA,"uo","Negative"
"330",563,"E547","Barnhart","Indoors",NA,NA,2021-04-11,932,16,NA,NA,"Positive Floor Elevator Buttons","Swab",NA,NA,NA,NA,4,13,9,NA,NA,"33","No Amp","No Amp","27.8","Negative",37.7,NA,NA,NA,"uo","Negative"
"331",564,"E548","Barnhart","Indoors",NA,NA,2021-04-11,933,16,NA,NA,"2nd Floor Elevator Call Button","Swab",NA,NA,NA,NA,4,13,9,NA,NA,"32.9","No Amp","No Amp","27.8","Negative",37.6,NA,NA,NA,"uo","Negative"
"332",565,"E549","Barnhart","Indoors",NA,NA,2021-04-11,935,16,NA,NA,"2nd Floor N Hallway Door Handle","Swab",NA,NA,NA,NA,4,13,9,NA,NA,"31.2","32","No Amp","27.1","Positive (2/3)",34.4,NA,NA,NA,"uo","Positive"
"333",57,"E55","Barnhart","Roof","3/24/2021",1228,2021-03-25,1022,3,5,"I","Exhaust #33","PUF",NA,NA,NA,0,3,3,0,"113, 115, 213, 215, 313, 413, 513, 613, 713, 315, 415, 515, 615, 715",NA,"28.3","No Amp","25.1","30.3","Positive (2/3)",31.1,NA,NA,NA,"uo","Positive"
"334",566,"E550","Barnhart","Indoors",NA,NA,2021-04-11,936,16,NA,NA,"2nd Floor Stairway Door Handle","Swab",NA,NA,NA,NA,4,13,9,NA,NA,"32","No Amp","No Amp","27.3","Negative",37.3,NA,NA,NA,"uo","Negative"
"335",573,"E557","Barnhart","Roof","4/10/2021",916,2021-04-11,915,20,5,"I","Exhaust #26","PUF",NA,NA,"202",1,4,13,9,"202, 302, 402, 502, 602, 702",NA,"33.9","No Amp","No Amp","22.6","Negative",38,NA,NA,NA,"uo","Negative"
"336",574,"E558","Barnhart","Port",NA,NA,2021-04-11,917,20,7,NA,"Port #27","Swab",NA,NA,NA,0,4,13,9,"101, 106, 204, 304, 404, 504, 604, 704",NA,"No Amp","No Amp","No Amp","27.9","Negative",40,NA,NA,NA,"uo","Negative"
"337",575,"E559","Barnhart","Roof","4/10/2021",920,2021-04-11,917,20,7,"K","Exhaust #27","PUF",NA,NA,NA,0,4,13,9,"101, 106, 204, 304, 404, 504, 604, 704",NA,"33.9","No Amp","No Amp","31.5","Negative",38,NA,"noamp",NA,"uo","Negative"
"338",58,"E56","Barnhart","Port",NA,NA,2021-03-25,1024,3,4,NA,"Port #32","Swab",NA,NA,NA,0,3,3,0,"109, 111, 209, 211, 309, 409, 509, 609, 311, 411, 511, 611, 711, 709",NA,"30.9","No Amp","24.5","26.3","Positive (2/3)",31.8,NA,NA,NA,"uo","Positive"
"339",576,"E560","Barnhart","Port",NA,NA,2021-04-11,919,20,9,NA,"Port #30","Swab",NA,NA,NA,0,4,13,9,"108, 206, 208 306, 308, 406, 408, 506, 508, 606, 608, 706, 708",NA,"No Amp","No Amp","No Amp","28.8","Negative",40,NA,NA,NA,"uo","Negative"
"340",577,"E561","Barnhart","Roof","4/10/2021",923,2021-04-11,919,20,9,"Z","Exhaust #30","PUF",NA,NA,NA,0,4,13,9,"108, 206, 208 306, 308, 406, 408, 506, 508, 606, 608, 706, 708",NA,"33","No Amp","No Amp","26","Negative",37.7,NA,NA,NA,"uo","Negative"
"341",578,"E562","Barnhart","Port",NA,NA,2021-04-11,920,20,8,NA,"Port #31","Swab",NA,NA,"210, 212",2,4,13,9,"110, 112, 210, 212, 310, 312, 410, 412, 510, 512, 610, 612, 710, 712",NA,"32.2","No Amp","No Amp","28.8","Negative",37.4,NA,NA,NA,"uo","Negative"
"342",579,"E563","Barnhart","Roof","4/10/2021",926,2021-04-11,921,20,8,"F","Exhaust #31","PUF",NA,NA,"210, 212",2,4,13,9,"110, 112, 210, 212, 310, 312, 410, 412, 510, 512, 610, 612, 710, 712",NA,"25","29.8","28.3","30.4","Positive (3/3)",27.7,NA,NA,NA,"uo","Positive"
"343",581,"E565","Barnhart","Roof","4/10/2021",927,2021-04-11,923,20,1,"H","Exhaust #34","PUF",NA,NA,"214, 216",2,4,13,9,"114, 116, 214, 216, 314, 316, 414, 416, 514, 516, 614, 616, 714, 716",NA,"30.2","29.7","No Amp","25.7","Positive (2/3)",33.3,NA,NA,NA,"uo","Positive"
"344",582,"E566","Barnhart","Port",NA,NA,2021-04-11,927,20,4,NA,"Port #32","Swab",NA,NA,"211",1,4,13,9,"109, 111, 209, 211, 309, 409, 509, 609, 311, 411, 511, 611, 711, 709",NA,"No Amp","No Amp","No Amp","33.1","Negative",40,NA,NA,NA,"uo","Negative"
"345",583,"E567","Barnhart","Roof","4/10/2021",929,2021-04-11,928,20,4,"G","Exhaust #32","PUF",NA,NA,"211",1,4,13,9,"109, 111, 209, 211, 309, 409, 509, 609, 311, 411, 511, 611, 711, 709",NA,"31","No Amp","33.9","30","Positive (2/3)",35,NA,NA,NA,"uo","Positive"
"346",585,"E569","Barnhart","Roof","4/10/2021",930,2021-04-11,927,20,3,"C","Exhaust #29","PUF",NA,NA,NA,0,4,13,9,"105, 107, 205, 207, 305, 405, 505, 605, 705, 307, 407, 507, 607, 707",NA,"30.2","31","31.4","25.9","Positive (3/3)",30.9,NA,NA,NA,"uo","Positive"
"347",59,"E57","Barnhart","Roof","3/24/2021",1230,2021-03-25,1024,3,4,"G","Exhaust #32","PUF",NA,NA,NA,0,3,3,0,"109, 111, 209, 211, 309, 409, 509, 609, 311, 411, 511, 611, 711, 709",NA,"30.9","33.2","27","27.9","Positive (3/3)",30.3,NA,NA,NA,"uo","Positive"
"348",586,"E570","Barnhart","Roof","4/10/2021",933,2021-04-11,929,20,2,"T","Exhaust #38 & #39","PUF",NA,NA,NA,0,4,13,9,"225, 325, 425, 525, 625, 725, 221, 321, 421, 521, 621, 721, 223, 323, 423, 523, 623, 723",NA,"32.9","No Amp","No Amp","30.4","Negative",37.6,NA,NA,NA,"uo","Negative"
"349",588,"E571","Barnhart","Indoors",NA,NA,2021-04-12,927,17,NA,NA,"W. Entrance Door Handle Exterior","Swab",NA,NA,NA,NA,4,13,6,NA,NA,"No Amp","No Amp","No Amp","27.9","Negative",40,NA,NA,NA,"uo","Negative"
"350",589,"E572","Barnhart","Indoors",NA,NA,2021-04-12,927,17,NA,NA,"W. Entrance Door Handle Interior","Swab",NA,NA,NA,NA,4,13,6,NA,NA,"33.1","32.6","No Amp","31.4","Positive (2/3)",35.2,NA,NA,NA,"uo","Positive"
"351",592,"E575","Barnhart","Indoors",NA,NA,2021-04-12,929,17,NA,NA,"Positive Floor Elevator Buttons","Swab",NA,NA,NA,NA,4,13,6,NA,NA,"34.2","No Amp","No Amp","27.4","Negative",38.1,NA,NA,NA,"uo","Negative"
"352",593,"E576","Barnhart","Indoors",NA,NA,2021-04-12,929,17,NA,NA,"2nd Floor Elevator Call Button","Swab",NA,NA,NA,NA,4,13,6,NA,NA,"33.6","No Amp","No Amp","26.7","Negative",37.9,NA,NA,NA,"uo","Negative"
"353",594,"E577","Barnhart","Indoors",NA,NA,2021-04-12,930,17,NA,NA,"2nd Floor N Hallway Door Handle","Swab",NA,NA,NA,NA,4,13,6,NA,NA,"31.3","33.5","No Amp","30.9","Positive (2/3)",34.9,NA,NA,NA,"uo","Positive"
"354",595,"E578","Barnhart","Indoors",NA,NA,2021-04-12,930,17,NA,NA,"2nd Floor Stairway Door Handle","Swab",NA,NA,NA,NA,4,13,6,NA,NA,"No Amp","No Amp","No Amp","31.4","Negative",40,NA,NA,NA,"uo","Negative"
"355",60,"E58","Barnhart","Port",NA,NA,2021-03-25,1026,3,3,NA,"Port #29","Swab","suspected cases",NA,"105, 107",2,3,3,0,"105, 107, 205, 207, 305, 405, 505, 605, 705, 307, 407, 507, 607, 707",NA,"30.4","32.1","19.9","27.5","Positive (3/3)",27.4,NA,NA,NA,"uo","Positive"
"356",602,"E585","Barnhart","Roof","4/11/2021",915,2021-04-12,936,21,5,"I","Exhaust #26","PUF",NA,NA,"202",1,4,13,6,"202, 302, 402, 502, 602, 702",NA,"33.6","No Amp","No Amp","26.7","Negative",37.9,NA,NA,NA,"uo","Negative"
"357",603,"E586","Barnhart","Port",NA,NA,2021-04-12,937,21,7,NA,"Port #27","Swab",NA,NA,NA,0,4,13,6,"101, 106, 204, 304, 404, 504, 604, 704",NA,"31.2","No Amp","32.2","34.6","Positive (2/3)",34.5,NA,NA,NA,"uo","Positive"
"358",604,"E587","Barnhart","Roof","4/11/2021",917,2021-04-12,938,21,7,"K","Exhaust #27","PUF",NA,NA,NA,0,4,13,6,"101, 106, 204, 304, 404, 504, 604, 704",NA,"34.8","No Amp","No Amp","26.1","Negative",38.3,NA,NA,NA,"uo","Negative"
"359",606,"E589","Barnhart","Roof","4/11/2021",919,2021-04-12,940,21,9,"Z","Exhaust #30","PUF",NA,NA,NA,0,4,13,6,"108, 206, 208 306, 308, 406, 408, 506, 508, 606, 608, 706, 708",NA,"32.2","No Amp","No Amp","25.8","Negative",37.4,NA,NA,NA,"uo","Negative"
"360",61,"E59","Barnhart","Roof","3/24/2021",1232,2021-03-25,1026,3,3,"C","Exhaust #29","PUF","suspected cases",NA,"105, 107",2,3,3,0,"105, 107, 205, 207, 305, 405, 505, 605, 705, 307, 407, 507, 607, 707",NA,"29","No Amp","31","30","Positive (2/3)",33.4,NA,NA,NA,"uo","Positive"
"361",607,"E590","Barnhart","Port",NA,NA,2021-04-12,941,21,8,NA,"Port #31","Swab",NA,NA,"212",1,4,13,6,"110, 112, 210, 212, 310, 312, 410, 412, 510, 512, 610, 612, 710, 712",NA,"No Amp","No Amp","No Amp","28.9","Negative",40,NA,NA,NA,"uo","Negative"
"362",608,"E591","Barnhart","Roof","4/11/2021",921,2021-04-12,942,21,8,"F","Exhaust #31","PUF",NA,NA,"212",1,4,13,6,"110, 112, 210, 212, 310, 312, 410, 412, 510, 512, 610, 612, 710, 712",NA,"33.8","No Amp","No Amp","30","Negative",37.9,NA,NA,NA,"uo","Negative"
"363",609,"E592","Barnhart","Port",NA,NA,2021-04-12,943,21,1,NA,"Port #34","Swab",NA,NA,"214, 216",2,4,13,6,"114, 116, 214, 216, 314, 316, 414, 416, 514, 516, 614, 616, 714, 716",NA,"19.7","19.2","16.1","24.4","Positive (3/3)",18.3,NA,NA,NA,"uo","Positive"
"364",610,"E593","Barnhart","Roof","4/11/2021",923,2021-04-12,944,21,1,"H","Exhaust #34","PUF",NA,NA,"214, 216",2,4,13,6,"114, 116, 214, 216, 314, 316, 414, 416, 514, 516, 614, 616, 714, 716",NA,"29","28.7","No Amp","24.4","Positive (2/3)",32.6,NA,NA,NA,"uo","Positive"
